user_id,no_of_videos,no_of_hashtags,no_of_unique_hashtags
6517753204489327616,1,1,1
6808703135169070086,1,1,1
6808694344692057094,1,1,1
6722477983720588293,1,2,2
6853247087296906245,1,5,5
6641366649772621830,1,1,1
6827341328868852742,1,2,2
6858234632107738118,1,1,1
6796383591292371973,1,1,1
6810585223605830662,1,1,1
6847827301058692101,2,3,3
6850985312723158022,1,1,1
6882815798982968326,1,1,1
6613851162019921926,1,1,1
6833437787851097094,1,1,1
6817958292430554118,1,1,1
6796116870728713221,1,1,1
6860283151097512966,1,2,2
6807979599676392454,1,1,1
6817279550680466438,1,1,1
6876725136638493702,1,3,3
6774672685115327494,1,1,1
6886211269788107782,1,1,1
6873630203702625285,1,1,1
6828698646323971078,1,1,1
6875092160556647430,1,1,1
6811350534802523141,1,1,1
6841411761485497350,3,7,4
6847999652198761477,1,1,1
6767383615624348678,6,36,6
6769792511961646085,5,20,10
6635317375359336453,9,100,23
6722191146628760582,4,22,9
6655719644274475014,4,30,12
6636678568288698374,2,4,2
6818889182368269317,3,6,6
6720668941004325894,2,14,8
6661553031567687686,1,3,3
6842998701272761350,8,63,31
6824471091064325126,1,3,3
6580397229823180805,1,2,2
6730964480652428294,1,6,6
6858378334334927878,20,206,67
6808577976541512710,5,33,17
6777454983190610950,2,6,5
6808179929668600838,3,13,9
6838627135893914630,1,7,7
6626311151742550022,1,3,3
6819874751189353478,2,17,12
6811700145090118662,2,4,3
6841571415850910725,2,13,10
6757422352508552198,9,65,31
6806460185272517637,8,84,36
6713482779840234502,3,13,9
6782632405100856325,3,3,2
6578314516814331910,1,8,8
6782690190990836742,1,10,10
6866591803132609541,1,4,4
6733343687700726789,1,4,4
6769246828442485766,3,17,8
6656209471238930437,1,10,10
6778580177649812486,4,19,8
6860579279114748933,2,17,12
6636854993055006726,1,4,4
6830448551644169221,1,2,2
6848672905556116486,1,5,5
6810424155029242886,2,12,6
6884794909635920902,2,4,3
6725601178225280005,21,138,28
6794141640875230213,2,15,11
6785856692279116805,2,9,8
6801799403423499265,1,6,6
6853963076018996229,1,3,3
312079549104525312,2,9,8
11734551,2,16,15
6868451180890063878,1,6,6
6811243379050349573,2,4,4
6605627803642036229,2,6,5
6641323276105400326,4,16,7
6654992878207565830,1,1,1
6562873793340522502,4,27,12
6720338303252907014,1,1,1
6690177204787332102,1,2,2
6619882637886930950,1,1,1
6692747802302350341,1,6,6
6773850377621259270,1,4,4
185433485736673280,1,6,6
6748859678472586245,4,14,9
6637202092153929734,1,3,3
6836784631972348934,2,11,10
6554784377406078982,3,9,5
103352436097974272,2,16,15
277007,1,1,1
6745179870370399237,2,19,18
6826952739109913605,1,4,4
6795359378968806405,3,22,12
6846009530900694021,1,2,2
6631678903553671174,1,3,3
6769098053775016966,1,1,1
6817030415581217797,1,1,1
6841585565629613061,1,5,5
6723811784355218437,2,2,1
6770794812859319301,1,6,6
6642861199740715013,1,3,3
6631579873495252997,2,2,2
6722644127735579654,1,3,3
6725902597280564230,1,3,3
6586795522798403590,1,2,2
6819415266330854406,1,9,8
6702243201518142469,1,3,3
6818781862048433158,3,32,21
6809311833721340933,1,9,9
6612410468873551878,1,1,1
