video_id,stats_likes,stats_shares,stats_comments,stats_plays,video_length,nr_hashtags,nr_tags,leaning_new,label_new
6856914689289358598,28.0,,6.0,217.0,1.0,5,1,0.0,neutral
6861353197240470790,27.0,,3.0,200.0,1.0,1,1,0.0,neutral
6863258603462200582,27.0,,2.0,261.0,1.0,1,1,0.0,neutral
6842015734940421382,26.0,,1.0,157.0,1.0,1,1,0.0,neutral
6870870729387265286,26.0,,7.0,233.0,1.0,5,1,-0.5,con
6866661804131536134,26.0,,1.0,135.0,1.0,7,1,0.0,neutral
6858725905154592006,26.0,,3.0,125.0,1.0,6,1,-0.5,con
6866184147849841925,25.0,,5.0,250.0,1.0,9,1,-0.5,con
6851302934827977989,25.0,,9.0,211.0,1.0,4,1,-0.5,con
6855276029641002246,25.0,,4.0,205.0,1.0,3,1,-0.5,con
6857171791773797637,25.0,,1.0,114.0,1.0,4,2,0.0,neutral
6841338084685073669,25.0,,4.0,123.0,1.0,5,1,-0.5,con
6860311765398441222,25.0,,3.0,285.0,1.0,1,1,0.0,neutral
6867245801710603526,25.0,,8.0,521.0,1.0,1,1,0.0,neutral
6859082690541391110,25.0,,2.0,253.0,1.0,11,1,-0.5,con
6856076955230424325,24.0,,2.0,95.0,1.0,1,1,0.0,neutral
6866081870967246086,24.0,,2.0,148.0,1.0,1,1,0.0,neutral
6862725402540920069,24.0,,6.0,390.0,1.0,1,1,0.0,neutral
6864431983498644741,24.0,,4.0,461.0,1.0,1,1,0.0,neutral
6858682386985618693,24.0,,1.0,104.0,1.0,1,1,0.0,neutral
6866553550688800005,24.0,,2.0,90.0,1.0,5,1,-1.0,con
6840235435088678150,24.0,,3.0,120.0,1.0,6,1,0.0,neutral
6860633563998588165,23.0,,3.0,222.0,1.0,13,0,0.0,neutral
6839828963448114437,23.0,,10.0,207.0,1.0,5,1,-0.5,con
6839926052161096965,23.0,,3.0,128.0,1.0,13,1,-0.5,con
6868075447813426438,22.0,,5.0,257.0,1.0,1,1,0.0,neutral
6873131754669001989,22.0,,1.0,123.0,1.0,8,1,-1.0,con
6850993948148731141,22.0,,4.0,265.0,1.0,1,1,0.0,neutral
6860690159092976902,22.0,,13.0,239.0,1.0,2,1,0.0,neutral
6859453100772658438,22.0,,,122.0,1.0,5,1,0.0,neutral
6867143866185714949,21.0,,6.0,258.0,1.0,1,1,0.0,neutral
6858631454826532101,21.0,,7.0,288.0,1.0,9,1,-1.5,con
6857482397215132933,21.0,,,75.0,1.0,1,1,0.0,neutral
6872871673989811461,21.0,,7.0,233.0,1.0,1,1,0.0,neutral
6878460404180323589,20.0,,1.0,148.0,1.0,1,1,0.0,neutral
6866275831782575366,20.0,,,103.0,1.0,1,1,0.0,neutral
6855872513302433029,20.0,,4.0,112.0,1.0,3,1,0.0,neutral
6864775701162200325,20.0,,2.0,136.0,1.0,5,1,-1.0,con
6838644382510370053,20.0,,2.0,179.0,1.0,5,1,0.0,neutral
6864597167298989317,20.0,,3.0,236.0,1.0,4,1,0.0,neutral
6861287709890137350,20.0,,8.0,569.0,1.0,1,1,0.0,neutral
6855894911674387718,20.0,,5.0,152.0,1.0,2,1,0.0,neutral
6841240504819010822,20.0,,1.0,63.0,1.0,1,1,0.0,neutral
6860910175088381190,20.0,,3.0,141.0,1.0,1,1,0.0,neutral
6862074505905343749,20.0,,4.0,170.0,1.0,5,1,0.0,neutral
6864104383752293638,19.0,,3.0,230.0,1.0,6,1,0.0,neutral
6864366946763214086,19.0,,2.0,148.0,1.0,1,1,0.0,neutral
6862210403502542085,19.0,,4.0,199.0,1.0,6,1,-0.5,con
6860448028726168837,19.0,,2.0,192.0,1.0,3,1,0.0,neutral
6857961509029547269,19.0,,2.0,137.0,1.0,2,1,0.0,neutral
6856607075330460934,19.0,,1.0,171.0,1.0,9,1,-0.5,con
6861414977794788614,18.0,,1.0,165.0,1.0,8,1,-0.5,con
6860536645045718277,18.0,,,137.0,1.0,1,1,0.0,neutral
